usuario,op,co,ex,ag,ne,wordcount,categoria
heidiklum,47.811741999999995,26.429696999999997,41.364470000000004,20.816439000000006,7.316742,98.803,3
HerreraBeutler,35.779512,26.518048999999998,31.227724,27.689919,11.420325,182.1301,8
HilaryDuff,55.974031000000004,22.30821700000001,33.09,21.330698,8.405426,114.4109,2
HillaryClinton,40.502021,25.40766,34.040957,16.767979,10.229042999999999,171.3617,8
hughlaurie,38.78828,29.765914000000002,36.947204,24.048172,9.351505,98.1935,4
IamStevenT,52.082462,24.797231,39.40230800000001,16.628231,4.004,118.9462,2
IanMcKellen,57.427595999999994,25.00875,33.121827,12.412403999999999,7.410577,123.8173,1
ierrejon,39.528546999999996,24.875982999999998,42.353077,23.810769,7.340855,91.6325,8
iescolar,39.36155,22.221628,40.205116,26.271240000000002,12.314729,51.7209,9
JerrySeinfeld,66.665564,20.382331,26.855564,15.602331,4.110075,172.3383,1
jessicaalba,48.587099,49.637863,26.988702000000004,9.948167999999999,2.979542,217.1832,1
JessieJ,52.675729000000004,24.691667000000002,35.32625,16.510208,10.034583,91.8125,2
JesusCalleja,45.813043,15.982935000000001,53.545869999999994,30.403260999999997,5.573043,112.0435,4
JesusEncinar,44.765313,22.090781,43.954375,24.824609,6.656406,85.8672,6
jiminhofe,42.643386,36.025197,33.345984,14.643385999999998,9.434488,157.6299,8
jimlangevin,44.51257800000001,27.203515999999997,37.723594,15.144922,10.280313,173.8594,8
jimmyfallon,51.830571,18.580952,44.304666999999995,10.049524,11.260475999999999,119.1905,4
jk_rowling,42.202857,22.814286,38.628681,21.68989,12.73011,140.1978,9
JLo,57.241308,22.909461999999998,33.237462,16.194154,7.5310000000000015,104.7231,2
JohnKerry,36.353297999999995,19.772979,39.223723,26.603617,9.733936,206.5319,8
jordievole,35.566589,20.262248,48.679534999999994,29.923022999999997,9.008605000000001,62.4264,4
jordiGlez,33.422105,17.846526,56.539263,32.230841999999996,3.339263,52.1474,4
josjaviersantos,31.7503,20.5587,44.3443,39.1499,5.2208,70.81,9
JPVarsky,33.332361999999996,21.29685,46.603621999999994,37.348898,11.800472000000001,75.9843,5
jtimberlake,41.929384999999996,26.924846000000002,41.96007700000001,17.815385,6.549691999999999,107.7615,2
JudgeJudy,57.145227,21.955795000000002,31.194545,16.385,4.713864,103.9773,4
justdemi,46.137347999999996,22.366667,43.874697,15.843257999999999,6.280379,162.0,1
justinbieber,49.331231,23.93592300000001,34.458231,23.982461999999998,6.296462,89.5692,2
KAKA,44.171154,28.855308,43.299846,27.451538,8.062769,61.4846,7
kanyewest,49.322373,22.994407,41.494915,14.199152999999999,6.074576,94.322,2
KateUpton,46.158281,21.967969,47.806719,23.341641,5.4898440000000015,119.1094,3
katyperry,48.355859,28.676094,35.778281,15.101563,10.714609,98.9453,2
KevinSpacey,47.143474,27.836737,40.162316,20.52,9.830947,167.5263,1
KidRock,48.403333,27.193255999999998,36.152326,12.157829,7.942403,97.0,2
kobebryant,40.281616,32.293636,35.341515,20.805657,10.999798,100.6465,7
ladygaga,49.049323,26.101729000000002,32.918647,22.447594,8.89391,165.5789,2
LennyKravitz,47.737462,33.041230999999996,41.528077,19.694385,7.0476149999999995,93.1846,2
LeoDiCaprio,48.743333,21.939106,42.93187,17.984797,10.362033,216.6911,1
lorenzo99,38.766702,26.053404,42.883829999999996,22.15266,9.444681,70.3511,7
manuginobili,38.471406,18.883828,41.289922,39.664375,7.084375,49.4063,7
MariahCarey,54.911368,21.441684,42.269895,11.263263,6.398526,105.2842,2
maria_patino,37.240989,20.251978,46.254286,31.804285999999998,7.949889999999999,55.7143,4
martinvars,46.319462,27.272538,38.176691999999996,14.143846,10.461538000000001,124.8462,6
MeganFox516,53.331332999999994,32.522667,33.349333,18.497332999999998,7.7453330000000005,181.0667,1
MelanieGriffith,51.006406,22.106563,36.351563,22.484609,6.09125,135.7578,1
MileyCyrus,47.646364,23.285909,39.943939,23.249848,10.560379,91.1894,1
NadalMiki,32.683125,17.819582999999994,54.681667000000004,35.906667,6.865938000000001,87.25,4
OfficialAdele,65.067447,24.692128,25.46617,14.787447,1.0302129999999998,142.9574,2
Oprah,54.43175600000001,25.741221,37.019847,19.690305,5.646107,139.1756,4
pabloalboran,35.834375,10.884063000000001,44.595625,23.930625,8.021771000000001,75.9688,2
Pablo_Iglesias_,39.546440999999994,22.423051,45.188475,25.213644,7.0794070000000024,77.7712,8
paugasol,41.114,26.088231,41.884769,19.713231,11.430462,82.1769,7
PaulaMeliveo,50.898163000000004,22.283673,38.136837,19.937347,12.289286,41.6837,5
paulocoelho,45.669015,27.750303000000002,44.523106,20.548864000000002,9.120833,80.7879,9
perezreverte,37.411719,19.024922,43.379531,33.332421999999994,10.238984,70.7188,9
pnique,31.541828000000002,24.789355,47.688171999999994,28.897527,8.21129,81.8495,8
porliniers,41.483701,16.283071,50.352283,30.561496,6.048268,39.6299,9
RafaelNadal,36.813721,30.046124,52.722403,14.703256,6.625736,95.1008,7
RealHughJackman,43.81828,21.572688,42.931613,17.494623999999998,9.609785,89.914,1
Rep_Hunter,39.31561,41.741463,30.73935,13.23122,16.201707,121.2602,8
rihanna,63.995606,27.178333000000002,26.921818,9.305985,6.1902269999999975,86.0455,2
ristomejide,44.541328,20.249219,45.529453000000004,33.89125,7.173672,75.4297,4
sanchezcastejon,35.420439,26.267367999999998,41.05807,24.249737,8.590877,103.7105,8
SarahPalinUSA,45.162043,24.725591,34.678602000000005,22.719355,11.516344,107.2258,8
SerranoIsmael,38.499688,19.819766,46.513828000000004,34.344766,9.364531,66.0234,2
shakira,55.29356600000001,18.304496,49.822326000000004,20.592791000000002,6.9345740000000005,34.7364,2
SJP,46.21,31.21777800000001,35.002221999999996,19.006667,8.821111,112.5556,1
springsteen,54.151720999999995,30.371311,32.722131,11.041475,6.991885000000001,100.2541,2
SSantiagosegura,43.443893,19.902672,23.982901000000002,17.032443,10.626489,12.8702,1
stevewoz,40.120985,28.510152,27.149545,23.975758,8.723711999999999,61.9242,6
taylorswift13,53.95,23.370992,42.411488,16.108347,4.050496,100.4545,2
TheEllenShow,48.796045,19.788582,46.014478000000004,14.642985000000001,5.6587309999999995,153.1194,4
thelittleidiot,43.805615,23.656077,36.315846,21.608307999999997,11.225230999999999,150.5462,2
TheReal_Jlh,51.161,16.749692,44.074,17.386154,8.361614999999999,145.8308,1
TomCruise,58.38029399999999,14.590784,45.653921999999994,12.822842999999999,4.0947059999999995,127.2059,1
tomhanks,40.345769,27.483615000000004,37.003923,17.285538,11.544615,114.7077,1
usainbolt,40.808939,30.62947,43.961591,18.982423999999998,7.905833,105.5303,7
victoriabeckham,57.96230799999999,20.413307999999997,33.373538,17.684,5.751154,110.0231,3
XabiAlonso,35.569389,22.13374,38.904885,31.624351,12.201221,47.542,7
XaviRodriguez,31.960417,15.416979000000001,48.533125,40.096458,11.764583,47.5625,4
xoellopez,71.696129,12.489274,27.571209999999997,19.093548000000002,3.241935,74.3065,2
ZacEfron,51.537405,26.009695,36.465344,23.008167999999998,7.2849619999999975,118.6107,1
_josecoronado_,36.258913,18.769348,45.225652000000004,39.427283,9.252065,113.7391,1
